time,open,high,low,close,tick_volume,spread,real_volume,rsi,ema20,ema50,ema200,slope,ema20_above_ema50,price_vs_ema50,volatility,rsi_overbought,future_return,signal
2025-01-02 22:00:00,101635.04,102243.7,101132.67,101829.91,1799,2666,0,69.89675001515458,98765.66509557902,98310.5544859405,98009.20840215465,243.88000000000466,1,3519.355514059498,1824.9861771012395,0,-0.008854569350007316,0
2025-01-02 23:00:00,101803.6,103286.96,101734.84,103209.36,1800,2666,0,74.19688829237255,99188.87413409531,98502.6645060997,98060.95120412327,1379.449999999997,1,4706.695493900304,2160.29306372398,1,-0.01838999873654874,0
2025-01-03 00:00:00,103172.66,103554.53,101272.0,101303.83,1799,2666,0,61.1931960393453,99390.29850227671,98612.51413331147,98093.21865482851,-1905.5299999999988,1,2691.3158666885283,1995.454870810318,0,0.0107306900439993,0
2025-01-03 01:00:00,101316.83,101329.31,100570.89,100928.25,1799,2666,0,58.99840775928595,99536.77007348846,98703.32730455417,98121.42792194465,-375.58000000000175,1,2224.922695445828,1639.0195169950332,0,0.012937903906983456,0
2025-01-03 02:00:00,100931.73,101514.99,100210.25,101311.34,1800,2666,0,60.55255243480572,99705.77673315624,98805.60231221872,98153.16834063176,383.0899999999965,1,2505.7376877812785,1469.1281605018435,0,0.009984370949984462,0
2025-01-03 03:00:00,101335.42,102406.77,101024.61,102390.89,1800,2666,0,64.62212750813902,99961.50180618897,98946.20182938661,98195.3347253021,1079.550000000003,1,3444.6881706133863,1381.7332655057155,0,-0.0012869308978562847,0
2025-01-03 04:00:00,102399.05,102621.68,101577.7,102234.05,1800,2666,0,63.59563398517166,100177.9349675043,99075.13705176361,98235.52094694089,-156.8399999999965,1,3158.9129482363933,1179.3374993126827,0,-0.0014152818948286049,0
2025-01-03 05:00:00,102220.22,102734.5,101699.8,102322.87,1799,2666,0,63.94491908115781,100382.21449440866,99202.49912816503,98276.19108677232,88.81999999999243,1,3120.3708718349662,977.0174128646048,0,-0.0002669002540683004,0
2025-01-03 06:00:00,102348.03,103145.64,102043.14,102259.12,1799,2666,0,63.474182657649294,100560.96739970308,99322.36661333502,98315.82222023729,-63.75,1,2936.7533866649756,675.8030629682792,0,-0.010294631911559587,0
2025-01-03 07:00:00,102258.22,103044.36,101949.06,102089.36,1800,2666,0,62.161874808438334,100706.52859973136,99430.87615791011,98353.36985983692,-169.75999999999476,1,2658.4838420898886,665.3753139866726,0,-0.009308805540557819,0
2025-01-03 08:00:00,102077.75,102302.61,101285.78,102295.56,1799,2666,0,63.158236446367695,100857.86492356648,99543.21670073718,98392.59563237586,206.1999999999971,1,2752.3432992628223,669.3721338368571,0,-0.01546342773821265,0
