time,open,high,low,close,tick_volume,spread,real_volume,rsi,ema20,ema50,ema200,slope,signal
2025-02-06 10:00:00,83060.33,83922.67,82877.51,83210.86,1800,2572,0,47.81315198952316,83180.31120025179,84285.60694040422,86688.56837647919,166.49000000000524,1
2025-07-03 21:00:00,106043.73,107903.23,105259.97,107903.23,1800,3004,0,73.52418934978849,104032.39586481598,101886.167615045,100827.20353008994,1881.1699999999985,1
2025-06-22 17:00:00,112695.85,113201.93,112393.31,112393.31,1798,3098,0,68.17407438065796,109082.83696293565,108609.102904097,107093.00994520764,-323.5400000000081,1
2025-06-29 09:00:00,95965.12,95965.12,94463.04,94519.17,1800,3098,0,46.32970699896254,94884.36852409349,96021.19283121346,101285.53445672644,-1433.9300000000076,1
2025-03-23 01:00:00,99133.37,99364.63,97787.57,98507.74,1799,2631,0,57.085434291541326,97690.54342525828,95897.60310175022,94109.23357280593,-616.5399999999936,1
2025-04-21 08:00:00,131627.1,132949.82,131061.67,132949.82,1800,4009,0,62.57873327136093,130847.25711735991,129992.28616339376,128229.16078095944,1336.8300000000163,0
2025-03-21 14:00:00,94009.2,94166.85,93263.72,93893.65,1800,2631,0,48.19106424903648,93825.45261413112,94430.0663380063,93526.65663882293,-138.40000000000873,0
2025-05-15 16:00:00,103802.24,104093.85,102778.55,103136.48,1800,3359,0,30.18843479619872,106424.75460362366,107682.39725503534,109362.890914049,-699.5599999999977,0
2025-04-23 12:00:00,138223.98,138903.19,137586.95,137586.95,1799,4009,0,49.38682485212707,138008.4479874677,136363.05394898614,131563.03447246007,-619.679999999993,1
2025-05-27 17:00:00,107149.41,107840.46,106700.04,107787.15,1799,3033,0,83.44274684542518,103769.19632103053,101449.12889923983,99648.5552192928,638.929999999993,0
2025-04-26 00:00:00,129505.81,131474.49,129309.77,131312.77,1800,4009,0,64.07688329157804,128392.35363994737,128700.53873188788,130307.63045303713,1793.7599999999948,0
2025-01-17 08:00:00,94486.91,95203.37,94118.06,94978.51,1800,2614,0,47.85725655153291,95259.09549451606,95555.81920617844,97781.39848700073,491.36999999999534,0
2025-06-29 02:00:00,93212.88,93608.02,92786.32,93444.84,1795,3098,0,36.68540339318638,94951.3954190562,96426.47390358103,101760.1911911275,230.11999999999531,1
2025-02-15 19:00:00,75610.99,76309.13,75423.96,76184.86,1799,2413,0,63.09364550096716,74811.38967411565,74201.91342624658,76707.61416195179,568.9100000000035,1
2025-02-24 00:00:00,88124.23,88407.74,87640.43,87744.18,1800,2385,0,46.51624159229532,88492.74932534888,87315.84532793942,83227.20635896653,-396.1300000000047,0
2025-05-15 19:00:00,101588.68,102924.1,101588.68,102301.14,1800,3359,0,30.90103656601052,105327.57138605491,107062.64534935774,109151.39013503358,717.8899999999994,0
2025-05-21 03:00:00,98437.92,98969.36,97676.9,98897.92,1799,2784,0,64.34390869145771,96780.21861324218,95693.20793960962,99830.95311777217,433.61999999999534,1
2025-03-29 13:00:00,117412.15,117696.33,116568.08,117191.6,1800,3201,0,49.99052793767392,117628.2296070254,115864.10145448265,108867.0330502752,-227.2200000000012,0
2025-01-08 04:00:00,102551.69,102620.12,101489.26,101967.22,1799,2682,0,49.821008228000565,102112.60289307631,101862.2823229792,100756.0032821408,-560.4199999999983,0
2025-04-19 00:00:00,129869.78,130737.05,129138.31,129152.98,1800,3923,0,43.444822668169714,130692.50477741584,130214.4543817771,127452.85663328697,-705.5200000000041,0
2025-07-03 20:00:00,106821.6,106846.04,105286.77,106022.06,1800,3004,0,67.83064887087093,103624.93964005976,101640.5732319856,100756.08768617125,-790.9100000000035,1
2025-02-14 20:00:00,74108.22,74749.64,73854.27,74398.46,1800,2413,0,55.84825061903598,73715.48659965448,73706.28100764271,77324.34956829798,272.0200000000041,1
2025-06-03 21:00:00,99176.1,99622.76,98380.46,98619.8,1799,3350,0,30.26127357165639,102000.85695605156,105122.36699764518,106337.8368325684,-539.2299999999959,0
2025-03-31 23:00:00,119094.87,119760.78,118327.03,118493.29,1800,3201,0,42.16084694130178,119738.20720388024,119387.10373180396,113485.18192456616,-610.8600000000006,1
2025-03-12 21:00:00,94363.71,94759.84,93616.75,94059.05,1800,2873,0,38.80854457468395,95573.33948704356,95647.63600814166,94054.10511089709,-273.1299999999901,1
2025-02-11 05:00:00,75248.35,76596.78,75243.57,76489.62,1799,2413,0,42.53590716847052,77499.01730862644,78690.80646872497,82207.58809717458,1219.3499999999913,1
2025-03-19 19:00:00,94571.91,94764.78,93609.18,94760.25,1799,2631,0,59.75475371656311,93594.8671246186,92698.91064630113,92503.2163674516,205.94000000000236,1
2025-04-25 07:00:00,121792.48,122127.93,120899.71,121803.89,1800,4009,0,33.42481066085702,124368.92881831984,128557.38305934895,130628.1149190374,41.75,1
2025-06-04 20:00:00,94851.67,94866.66,92829.02,92982.72,1800,3350,0,30.70821480671806,95895.84431569188,99518.10083302546,104239.96808423336,-1869.3099999999977,1
2025-06-26 06:00:00,102372.05,102372.05,100959.36,101644.13,1800,3098,0,44.600969132008615,102272.77699631234,103772.9625868429,106359.835369523,-711.3099999999977,0
2025-03-15 14:00:00,96332.21,96374.3,94969.4,95247.83,1800,2873,0,55.81806141446332,94455.50221323063,94097.44869469597,93918.12119267648,-1099.550000000003,0
2025-05-14 14:00:00,110672.97,110693.37,109068.5,109130.31,1800,3359,0,46.57798050216097,110047.64096219948,109213.48062889568,109995.49537410408,-1539.520000000004,1
2025-04-15 11:00:00,135753.82,136012.44,134487.57,135424.44,1800,3923,0,63.62381538364463,132962.95809559792,129765.5755101849,123815.46447750484,-311.2200000000012,0
